7271011833334695575,5357589149923231251
6797871240844365415,4672283256877269496
1603845676908946290,954980048439415876
649022379454191587,6175786791542662934
8307476929061368928,802980960414641736
415198592755583881,2005447633990377519
2771994004360431711,4496073582633379097
855847949486139480,5554466603039719686
4368396216489575511,5594479714169109263
5241222524765324079,3500053396806725702
2689133334725908824,8544124636722693034
2065653206472406604,3241143219245801614
7473157485898372762,1686149721130521267
8857339501000089937,7450530692197201361
1819531928126963687,7189818741099594013
7798654909692515255,8998859794798251445
